Reference Number,Easting,Northing,Number of Vehicles,Number of Casualties,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
10AA0000668,426073,433116,1,2,29-Jan-10,1920,6,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,29,11
10AA0000668,426073,433116,1,2,29-Jan-10,1920,6,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,49,11
10CA0000656,434806,429071,2,1,29-Jan-10,0840,3,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,68,9
10CA0000674,428325,429612,2,1,29-Jan-10,1545,3,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,30,9
10CA0000689,430373,433482,1,1,29-Jan-10,1140,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,79,9
10CA0000791,428854,432537,2,1,29-Jan-10,1520,3,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,21,9
10MU0000709,425588,428817,2,1,29-Jan-10,1535,1,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,20,9
10AA0000733,427123,435700,2,1,30-Jan-10,0015,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,38,8
10AA0000847,427374,434788,1,1,30-Jan-10,2254,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,20,9
10BA0000666,439583,439392,1,1,30-Jan-10,1710,3,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,49,9
10BA0000693,432405,433265,1,1,30-Jan-10,1745,6,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,47,8
10MU0000841,424352,427870,3,1,30-Jan-10,1234,1,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,36,9
10BA0000694,430785,438590,2,1,31-Jan-10,0045,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,50,9
10BA0000703,427980,441453,2,1,31-Jan-10,1140,6,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,15,1
10BA0000760,436124,435556,2,2,31-Jan-10,1245,3,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,25,9
10BA0000760,436124,435556,2,2,31-Jan-10,1245,3,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,23,9
10CA0000678,427617,426255,1,1,31-Jan-10,0745,3,Frost/ Ice,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,40,9
10MU0000855,424124,428071,1,1,31-Jan-10,0533,1,Frost/ Ice,Darkness: street lights present and lit,Other,Driver,Slight,Female,23,9
10AA0000714,427710,434724,2,1,01-Feb-10,1200,6,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,53,9
10AA0001017,419226,441788,1,1,01-Feb-10,1525,3,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,13,9
10AA0001543,418437,445786,2,2,01-Feb-10,1745,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,53,9
10AA0001543,418437,445786,2,2,01-Feb-10,1745,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Female,32,9
10BA0000662,435210,433637,2,2,01-Feb-10,1110,6,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,49,9
10BA0000662,435210,433637,2,2,01-Feb-10,1110,6,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,39,9
